Date,Central PA,Linear Speed ,MPA,20R Speed,Width,ssn
7/15/1996,257,436,259.5,799,37,0
7/16/1996,253,416,252,371.5,32,0
7/17/1996,217.666666666667,311.333333333333,216,319.666666666667,36.3333333333333,0
7/18/1996,155.444444444444,289.555555555556,155.333333333333,372.111111111111,82.5555555555556,0
7/19/1996,93.2222222222222,267.777777777778,94.6666666666667,424.555555555556,128.777777777778,0
7/20/1996,31,246,34,477,175,0
7/21/1996,51.5,232.1875,53.9375,468.5625,158.375,0
7/22/1996,72,218.375,73.875,460.125,141.75,0
7/23/1996,92.5,204.5625,93.8125,451.6875,125.125,0
7/24/1996,113,190.75,113.75,443.25,108.5,0
7/25/1996,133.5,176.9375,133.6875,434.8125,91.875,12
7/26/1996,154,163.125,153.625,426.375,75.25,13
7/27/1996,174.5,149.3125,173.5625,417.9375,58.625,17
7/28/1996,195,135.5,193.5,409.5,42,22
7/29/1996,268,190,266,424.5,53,27
7/30/1996,259.333333333333,229.5,260.5,439.5,54.8333333333333,30
7/31/1996,250.666666666667,269,255,454.5,56.6666666666667,26
8/1/1996,242,308.5,249.5,469.5,58.5,31
8/2/1996,236.5,189.75,244.75,298.75,42.25,31
8/3/1996,231,71,240,128,26,29
8/4/1996,233.75,100.928571428571,242.25,170.642857142857,26.25,22
8/5/1996,236.5,130.857142857143,244.5,213.285714285714,26.5,14
8/6/1996,239.25,160.785714285714,246.75,255.928571428571,26.75,23
8/7/1996,242,190.714285714286,249,298.571428571429,27,15
8/8/1996,221,220.642857142857,224.333333333333,341.214285714286,36.3333333333333,19
8/9/1996,200,250.571428571429,199.666666666667,383.857142857143,45.6666666666667,20
8/10/1996,179,280.5,175,426.5,55,29
8/11/1996,134,245.25,132,426.5,46,23
8/12/1996,89,210,89,426.5,37,16
8/13/1996,258.5,459,247,426.5,122.5,29
8/14/1996,216.5,467.5,234,292,202,26
8/15/1996,123,156,121,245,69,14
8/16/1996,124,364,158,399,360,15
8/17/1996,125,378,147,421,267.333333333333,12
8/18/1996,126,392,136,443,174.666666666667,15
8/19/1996,127,406,125,465,82,14
8/20/1996,198,214,201,229.5,32.5,14
8/21/1996,291,286,274,282,41,12
8/22/1996,91,979,129,1035,125,14
8/23/1996,88.7272727272727,941.909090909091,123.909090909091,940.909090909091,114.818181818182,22
8/24/1996,86.4545454545455,904.818181818182,118.818181818182,846.818181818182,104.636363636364,14
8/25/1996,84.1818181818182,867.727272727273,113.727272727273,752.727272727273,94.4545454545455,18
8/26/1996,81.9090909090909,830.636363636364,108.636363636364,658.636363636364,84.2727272727273,18
8/27/1996,79.6363636363636,793.545454545455,103.545454545455,564.545454545455,74.0909090909091,15
8/28/1996,77.3636363636364,756.454545454545,98.4545454545455,470.454545454545,63.9090909090909,15
8/29/1996,75.0909090909091,719.363636363636,93.3636363636364,376.363636363636,53.7272727272727,19
8/30/1996,72.8181818181818,682.272727272727,88.2727272727273,282.272727272727,43.5454545454545,26
8/31/1996,70.5454545454545,645.181818181818,83.1818181818182,188.181818181818,33.3636363636364,24
9/1/1996,68.2727272727273,608.090909090909,78.0909090909091,94.0909090909091,23.1818181818182,17
9/2/1996,66,571,73,0,13,13
9/3/1996,166,158,166.5,0,41.5,0
9/4/1996,243,255,248,0,13,0
9/5/1996,260,212.333333333333,262.666666666667,62.3333333333333,11.3333333333333,0
9/6/1996,277,169.666666666667,277.333333333333,124.666666666667,9.66666666666667,22
9/7/1996,294,127,292,187,8,0
9/8/1996,93,195,96,196,46,0
9/9/1996,265.5,195.5,262.5,200,62,0
9/10/1996,265.75,201.125,263.1875,201.666666666667,56.875,0
9/11/1996,266,206.75,263.875,203.333333333333,51.75,15
9/12/1996,266.25,212.375,264.5625,205,46.625,0
9/13/1996,266.5,218,265.25,206.666666666667,41.5,0
9/14/1996,266.75,223.625,265.9375,208.333333333333,36.375,0
9/15/1996,267,229.25,266.625,210,31.25,0
9/16/1996,267.25,234.875,267.3125,211.666666666667,26.125,0
9/17/1996,267.5,240.5,268,213.333333333333,21,0
9/18/1996,285,191,298,215,59,0
9/19/1996,248,120,247,0,28,0
9/20/1996,159.5,201,162,416,26,0
9/21/1996,114.75,194.5,116.5,350,29,0
9/22/1996,70,188,71,284,32,0
9/23/1996,71.5,219,68,259.5,36,0
9/24/1996,73,250,65,235,40,0
9/25/1996,139,225.5,153.5,295,71.5,0
9/26/1996,205,201,242,355,103,0
9/27/1996,277,276,272,632,17,0
9/28/1996,295,220,288,507.5,24.5,0
9/29/1996,313,164,304,383,32,0
9/30/1996,285.5,242,279,380,42,0
10/1/1996,258,320,254,377,52,0
10/2/1996,271.666666666667,331.666666666667,267,304,44,0
10/3/1996,285.333333333333,343.333333333333,280,231,36,0
10/4/1996,299,355,293,158,28,0
10/5/1996,228,569,312,748,247,0
10/6/1996,228.333333333333,430.666666666667,285,498.666666666667,171.666666666667,0
10/7/1996,228.666666666667,292.333333333333,258,249.333333333333,96.3333333333333,0
10/8/1996,229,154,231,0,21,0
10/9/1996,221,299,227,382,13,0
10/10/1996,166,254,167.5,401,29,0
10/11/1996,111,209,108,420,45,0
10/12/1996,163.333333333333,204.333333333333,162,591.666666666667,42.3333333333333,0
10/13/1996,215.666666666667,199.666666666667,216,763.333333333333,39.6666666666667,0
10/14/1996,268,195,270,935,37,0
10/15/1996,242.3,211.1,240.2,808,49.1,0
10/16/1996,216.6,227.2,210.4,681,61.2,0
10/17/1996,190.9,243.3,180.6,554,73.3,0
10/18/1996,165.2,259.4,150.8,427,85.4,0
10/19/1996,139.5,275.5,121,300,97.5,0
10/20/1996,184,164,178,344,33,0
10/21/1996,194.5,167,194.5,334.75,21.5,0
10/22/1996,205,170,211,325.5,10,0
10/23/1996,123,173,132.5,316.25,22,0
10/24/1996,41,176,54,307,34,7
10/25/1996,174.5,120,183,265,38,7
10/26/1996,308,64,312,223,42,7
10/27/1996,295,76,299,77,17,0
10/28/1996,279,206,293,484,42,0
10/29/1996,223,302.75,232.5,511.25,37.25,0
10/30/1996,167,399.5,172,538.5,32.5,0
10/31/1996,256,455,260,0,16,0
11/1/1996,257,357,261,0,7,0
11/2/1996,268,271,265.5,0,27,0
11/3/1996,279,185,270,0,47,0
11/4/1996,210,395.666666666667,218,569.333333333333,26,0
11/5/1996,274,108,276,0,63,0
11/6/1996,100,347,89,0,43,0
11/7/1996,113,297,110,364,198,0
11/8/1996,288,87,285,263,70,11
11/9/1996,355,157,281,290,169,17
11/10/1996,348.75,167,292.5,309.5,127.75,20
11/11/1996,342.5,177,304,329,86.5,15
11/12/1996,336.25,187,315.5,348.5,45.25,15
11/13/1996,330,197,327,368,4,0
11/14/1996,203,207,201,387.5,18.5,28
11/15/1996,76,217,75,407,33,56
11/16/1996,119.5,216,122,380,41.75,25
11/17/1996,163,215,169,353,50.5,13
11/18/1996,206.5,214,216,326,59.25,14
11/19/1996,250,213,263,299,68,13
11/20/1996,253.6,289.2,268,376,69.8,25
11/21/1996,257.2,365.4,273,453,71.6,33
11/22/1996,260.8,441.6,278,530,73.4,61
11/23/1996,264.4,517.8,283,607,75.2,63
11/24/1996,268,594,288,684,77,79
11/25/1996,261,258,256,239,63,72
11/26/1996,208.333333333333,317,219.333333333333,758.5,63.6666666666667,63
11/27/1996,271,379,277,562,39,47
11/28/1996,272,639,271.5,812,64,43
11/29/1996,261,300,267,483,10,35
11/30/1996,267,477,270,549,78,24
12/1/1996,228.5,448.833333333333,239.666666666667,499.75,107,13
12/2/1996,190,420.666666666667,209.333333333333,450.5,136,0
12/3/1996,160.333333333333,321.277777777778,173.388888888889,450,108.666666666667,0
12/4/1996,130.666666666667,221.888888888889,137.444444444444,449.5,81.3333333333333,0
12/5/1996,101,122.5,101.5,449,54,0
12/6/1996,275,367,274,322,51,0
12/7/1996,171.5,241.5,179.5,131,26.5,14
12/8/1996,97,352,90,208,41.5,18
12/9/1996,272.5,97.5,279.5,41.5,53,17
12/10/1996,87,211,86,208,125,29
12/11/1996,90.5,208.5,83.5,285,85.5,30
12/12/1996,94,206,81,362,46,34
12/13/1996,80.5,150.5,75.5,239.5,29,28
12/14/1996,67,95,70,117,12,30
12/15/1996,69,224,72,372,37,25
12/16/1996,81,222,77.5,337.5,40,29
12/17/1996,130,168,126,391.25,42,34
12/18/1996,255,237,256,445,16,24
12/19/1996,182,305.5,172,196,104.666666666667,16
12/20/1996,257,291,266,0,32,22
12/21/1996,272,347,254,524,72,22
12/22/1996,256,257,264,582,47,12
12/23/1996,269.5,308.5,269.5,449,63,13
12/24/1996,265,325,266,292,69,0
12/25/1996,268,293.5,266,322.5,59,0
12/26/1996,271,262,266,353,49,0
12/27/1996,269.5,240,271,414,49,0
12/28/1996,269.625,216.5,271.75,395,38,0
12/29/1996,269.75,193,272.5,376,27,0
12/30/1996,269.875,169.5,273.25,357,16,0
12/31/1996,270,146,274,338,5,0
1/1/1997,181,177,188.5,316.5,30,0
1/2/1997,92,208,103,295,55,0
1/3/1997,176,189.5,179.5,276,17.5,14
1/4/1997,132.5,200.75,132.75,138,34.75,13
1/5/1997,89,212,86,0,52,16
1/6/1997,86.5,136,180,319,360,10
1/7/1997,84,156,78,423,52,0
1/8/1997,84.3333333333333,212.333333333333,83,381,53.6666666666667,12
1/9/1997,84.6666666666667,268.666666666667,88,339,55.3333333333333,12
1/10/1997,85,325,93,297,57,9
1/11/1997,76.5,237.25,81.5,231.75,51.25,0
1/12/1997,68,149.5,70,166.5,45.5,0
1/13/1997,93.75,147.875,95.875,222.375,39.5,0
1/14/1997,119.5,146.25,121.75,278.25,33.5,14
1/15/1997,145.25,144.625,147.625,334.125,27.5,22
1/16/1997,171,143,173.5,390,21.5,10
1/17/1997,207.5,198.5,210.75,366,68.75,14
1/18/1997,244,254,248,342,116,0
1/19/1997,286,33,286,137,44,0
1/20/1997,281,175,285,0,72,0
1/21/1997,275,353,281,683,32,0
1/22/1997,121,224,126,408,94,0
1/23/1997,107,152,112,188,19,12
1/24/1997,85,113,88,0,42,10
1/25/1997,86.25,126.125,89,43.875,44.125,10
1/26/1997,87.5,139.25,90,87.75,46.25,12
1/27/1997,88.75,152.375,91,131.625,48.375,0
1/28/1997,90,165.5,92,175.5,50.5,13
1/29/1997,91.25,178.625,93,219.375,52.625,14
1/30/1997,92.5,191.75,94,263.25,54.75,13
1/31/1997,93.75,204.875,95,307.125,56.875,13
2/1/1997,95,218,96,351,59,33
2/2/1997,190.5,194.5,190.5,89,41.5,43
2/3/1997,274,345,272,456,67,45
2/4/1997,93,340,97,628,59,33
2/5/1997,228,108,234,0,58,26
2/6/1997,249.066666666667,299,250,317.5,209,22
2/7/1997,270.133333333333,490,266,635,360,12
2/8/1997,291.2,230,289.2,411.25,8,12
2/9/1997,255,185,261,394,7,0
2/10/1997,269,192.666666666667,271.333333333333,380.333333333333,17.6666666666667,0
2/11/1997,283,200.333333333333,281.666666666667,366.666666666667,28.3333333333333,0
2/12/1997,297,208,292,353,39,0
2/13/1997,293.857142857143,215.857142857143,289.571428571429,354.428571428571,41.2857142857143,0
2/14/1997,290.714285714286,223.714285714286,287.142857142857,355.857142857143,43.5714285714286,0
2/15/1997,287.571428571429,231.571428571429,284.714285714286,357.285714285714,45.8571428571429,13
2/16/1997,284.428571428571,239.428571428571,282.285714285714,358.714285714286,48.1428571428571,0
2/17/1997,281.285714285714,247.285714285714,279.857142857143,360.142857142857,50.4285714285714,12
2/18/1997,278.142857142857,255.142857142857,277.428571428571,361.571428571429,52.7142857142857,12
2/19/1997,275,263,275,363,55,10
2/20/1997,303,132,305,190,43,0
2/21/1997,268.5,211,288,207,88.5,0
2/22/1997,234,290,271,224,134,0
2/23/1997,208,905,63,877,209,10
2/24/1997,267,123,263,171,66,12
2/25/1997,103,128,106,0,29,0
2/26/1997,161.5,144,166.5,284,26.5,0
2/27/1997,145.8,160,149.4,413.4,29.5,0
2/28/1997,130.1,176,132.3,542.8,32.5,0
3/1/1997,114.4,192,115.2,672.2,35.5,0
3/2/1997,98.7,208,98.1,801.6,38.5,0
3/3/1997,83,224,81,931,41.5,0
3/4/1997,198,342,191,598,30.75,0
3/5/1997,313,460,301,265,20,11
3/6/1997,104,301,101,0,27,14
3/7/1997,87.3333333333333,373,90.3333333333333,198.333333333333,66.6666666666667,26
3/8/1997,70.6666666666667,445,79.6666666666667,396.666666666667,106.333333333333,25
3/9/1997,54,517,69,595,146,17
3/10/1997,32,321,40.5,447,75.5,18
3/11/1997,10,125,12,299,5,21
3/12/1997,260,290,273,259,47,19
3/13/1997,261.166666666667,285,270.833333333333,307.5,48.6666666666667,18
3/14/1997,262.333333333333,280,268.666666666667,356,50.3333333333333,35
3/15/1997,263.5,275,266.5,404.5,52,15
3/16/1997,258.75,359,260.75,476.75,85,17
3/17/1997,254,443,255,549,118,17
3/18/1997,256.333333333333,374.333333333333,257.333333333333,469,105.666666666667,0
3/19/1997,258.666666666667,305.666666666667,259.666666666667,389,93.3333333333333,12
3/20/1997,261,237,262,309,81,0
3/21/1997,263.333333333333,168.333333333333,264.333333333333,229,68.6666666666667,0
3/22/1997,265.666666666667,99.6666666666667,266.666666666667,149,56.3333333333333,0
3/23/1997,268,31,269,69,44,0
3/24/1997,232,140,254,360,162,0
3/25/1997,87,156.5,88,180,45,0
3/26/1997,94,173,84,0,52,14
3/27/1997,271,83,293,279,70,19
3/28/1997,100.5,227.5,97.5,222.5,45.5,25
3/29/1997,158.333333333333,226.666666666667,153.666666666667,205.666666666667,49,28
3/30/1997,216.166666666667,225.833333333333,209.833333333333,188.833333333333,52.5,24
3/31/1997,274,225,266,172,56,25
4/1/1997,75.5,336.75,80.5,499.75,69.75,46
4/2/1997,75,367,84,895,82,55
4/3/1997,131.25,281.25,135.75,562.5,69.25,40
4/4/1997,187.5,195.5,187.5,230,56.5,37
4/5/1997,170,382,168,852.5,5,30
4/6/1997,301,675,295,1475,7,16
4/7/1997,320,511.5,221,516.5,251.5,15
4/8/1997,298.5,498.25,242,522.75,157.25,31
4/9/1997,277,485,263,529,63,36
4/10/1997,186.5,320,181,279,52,34
4/11/1997,96,155,99,29,41,18
4/12/1997,179.75,324.75,176.75,480.25,42,33
4/13/1997,263.5,494.5,254.5,931.5,43,36
4/14/1997,265.5,528.5,252.5,343.5,53.5,42
4/15/1997,222.5,367.25,214.5,339.25,65.25,39
4/16/1997,179.5,206,176.5,335,77,19
4/17/1997,202.625,230.25,200.875,403.75,69.75,13
4/18/1997,225.75,254.5,225.25,472.5,62.5,16
4/19/1997,248.875,278.75,249.625,541.25,55.25,0
4/20/1997,272,303,274,610,48,0
4/21/1997,167.5,239.5,174.5,412,40.5,0
4/22/1997,63,176,75,214,33,13
4/23/1997,76,634,71,647,45,13
4/24/1997,119.5,553.333333333333,120.333333333333,538.083333333333,109.333333333333,12
4/25/1997,163,472.666666666667,169.666666666667,429.166666666667,173.666666666667,25
4/26/1997,206.5,392,219,320.25,238,16
4/27/1997,250,311.333333333333,268.333333333333,211.333333333333,302.333333333333,18
4/28/1997,194.666666666667,302.888888888889,205.888888888889,238.888888888889,225.222222222222,12
4/29/1997,139.333333333333,294.444444444444,143.444444444444,266.444444444444,148.111111111111,0
4/30/1997,84,286,81,294,71,0
5/1/1997,207.666666666667,206,211,295.666666666667,47.6666666666667,0
5/2/1997,168.5,277,174,327.5,78.5,0
5/3/1997,250,556.5,254.5,208,16.5,11
5/4/1997,88,202,89,0,51,12
5/5/1997,87,395,84,699,55,11
5/6/1997,178,314.5,177,413.5,55.5,11
5/7/1997,269,234,270,128,56,14
5/8/1997,268,241,268.666666666667,85.3333333333333,50.6666666666667,12
5/9/1997,267,248,267.333333333333,42.6666666666667,45.3333333333333,23
5/10/1997,266,255,266,0,40,22
5/11/1997,292,245,281,221,8,14
5/12/1997,286.5,464,264,220,360,17
5/13/1997,281,358,265,213.666666666667,253.333333333333,18
5/14/1997,275.5,252,266,207.333333333333,146.666666666667,15
5/15/1997,270,146,267,201,40,23
5/16/1997,278,341.5,281.5,450.5,32,23
5/17/1997,93.6666666666667,307.666666666667,88.3333333333333,189,46,29
5/18/1997,88,353,88,650,32,37
5/19/1997,127.777777777778,305,128.222222222222,539.111111111111,49.6666666666667,54
5/20/1997,167.555555555556,257,168.444444444444,428.222222222222,67.3333333333333,72
5/21/1997,207.333333333333,209,208.666666666667,317.333333333333,85,66
5/22/1997,102,346,98,507,66,55
5/23/1997,104,269,100,253.5,62,41
5/24/1997,106,192,102,0,58,40
5/25/1997,93,684,92,671,82,48
5/26/1997,148.666666666667,330.333333333333,144.666666666667,325.333333333333,47.6666666666667,34
5/27/1997,176.5,381,176.5,380.5,47,23
5/28/1997,182.75,334.5,176.25,219.75,41,19
5/29/1997,189,288,176,59,35,17
5/30/1997,89.5,267.5,88,467,54,26
5/31/1997,280,249,275,461,51,33
6/1/1997,84,342,91,376,75,36
6/2/1997,92,187.5,98,0,49,24
6/3/1997,89,258,90,516,42,18
6/4/1997,182,289,187.5,394.5,52,18
6/5/1997,275,320,285,273,62,20
6/6/1997,74,241,83,699,14,20
6/7/1997,90,220,85,0,44,31
6/8/1997,175,284.5,184,454,51.5,26
6/9/1997,285,509,277,292,16,13
6/10/1997,219,233.333333333333,214.333333333333,214,16.3333333333333,13
6/11/1997,190.5,133,190,77,45,26
6/12/1997,190.5,136.25,193.25,83.75,67.75,29
6/13/1997,190.5,139.5,196.5,90.5,90.5,31
