Date,SSN,NOAA,Imp,Imp degree,Imp factor,Flare Power,,Factor,Power watts/square metre)
04-04-2000,250,8933,C9.7,9.7,C,0.0000097,,,
04-09-2000,165,8948,M3.1,3.1,M,0.000031,,,
05-04-2000,97,8970,M6.8,6.8,M,0.000068,,,
05-05-2000,97,8970,M1.5,1.5,M,0.000015,,,
05-15-2000,280,8993,C7.8,7.8,C,0.0000078,,,
06-02-2000,119,9026,M7.6,7.6,M,0.000076,,,
06-06-2000,149,9026,X2.3,2.3,X,0.00023,,,
06-10-2000,179,9026,M5.2,5.2,M,0.000052,,,
06-15-2000,238,9041,M1.8,1.8,M,0.000018,,,
06-17-2000,209,9041,M3.5,3.5,M,0.000035,,,
06-23-2000,187,9042,M3.0,3,M,0.00003,,,
06-25-2000,167,9046,M1.9,1.9,M,0.000019,,,
07-10-2000,309,9077,M5.7,5.7,M,0.000057,,,
07-11-2000,290,9077,X1.0,1,X,0.0001,,,
07-12-2000,267,9070,M1.5,1.5,M,0.000015,,,
07-14-2000,236,9077,X5.7,5.7,X,0.00057,,,
07-22-2000,310,9085,M3.7,3.7,M,0.000037,,,
09-12-2000,50,DSF,M1.0,1,M,0.00001,,,
09-16-2000,121,9165,M5.9,5.9,M,0.000059,,,
09-19-2000,172,9165,M5.1,5.1,M,0.000051,,,
09-25-2000,218,9169,M1.8,1.8,M,0.000018,,,
10-16-2000,131,9182,M2.5,2.5,M,0.000025,,,
10-25-2000,125,9199,C4.0,4,C,0.000004,,,
11-03-2000,209,9213,C3.2,3.2,C,0.0000032,,,
11-08-2000,188,9213,M7.4,7.4,M,0.000074,,,
11-09-2000,141,9221,M1.0,1,M,0.00001,,,
11-12-2000,107,9227,C4.4,4.4,C,0.0000044,,,
11-23-2000,135,9238,C5.4,5.4,C,0.0000054,,,
11-23-2000,135,9239,C7.9,7.9,C,0.0000079,,,
11-24-2000,145,9236,X2.0,2,X,0.0002,,,
11-24-2000,145,9236,X2.3,2.3,X,0.00023,,,
11-24-2000,145,9236,X1.8,1.8,X,0.00018,,,
11-25-2000,109,9240,M8.2,8.2,M,0.000082,,,
11-25-2000,109,9236,X1.9,1.9,X,0.00019,,,
11-26-2000,87,9236,X4.0,4,X,0.0004,,,
01-20-2001,91,9313,M1.2,1.2,M,0.000012,,,
01-20-2001,91,9313,M7.7,7.7,M,0.000077,,,
01-26-2001,125,9320,C1.6,1.6,C,0.0000016,,,
01-28-2001,152,9313,M1.5,1.5,M,0.000015,,,
02-11-2001,151,9346,C6.5,6.5,C,0.0000065,,,
03-10-2001,142,9368,M6.7,6.7,M,0.000067,,,
03-27-2001,352,9393,C7.3,7.3,C,0.0000073,,,
03-27-2001,352,9393,C5.6,5.6,C,0.0000056,,,
03-29-2001,340,9393,X1.7,1.7,X,0.00017,,,
04-02-2001,249,9393,X1.1,1.1,X,0.00011,,,
04-02-2001,249,9393,X20.,20,X,0.002,,,
04-03-2001,254,9415,X1.2,1.2,X,0.00012,,,
04-04-2001,201,9415,M1.6,1.6,M,0.000016,,,
04-05-2001,200,9393,M8.4,8.4,M,0.000084,,,
04-06-2001,165,9415,X5.6,5.6,X,0.00056,,,
04-09-2001,165,9415,M7.9,7.9,M,0.000079,,,
04-10-2001,171,9415,X2.3,2.3,X,0.00023,,,
04-11-2001,173,9415,M2.3,2.3,M,0.000023,,,
04-12-2001,155,9415,X2.0,2,X,0.0002,,,
04-15-2001,113,9415,X14.,14,X,0.0014,,,
04-18-2001,57,-----,C2.2,2.2,C,0.0000022,,,
04-26-2001,179,9433,M1.5,1.5,M,0.000015,,,
05-12-2001,124,9455,M3.0,3,M,0.00003,,,
06-15-2001,282,9502,M6.3,6.3,M,0.000063,,,
08-25-2001,140,9591,X5.3,5.3,X,0.00053,,,
08-30-2001,150,9601,M3.0,3,M,0.00003,,,
09-03-2001,190,9607,M2.5,2.5,M,0.000025,,,
09-15-2001,205,9608,M1.5,1.5,M,0.000015,,,
09-16-2001,191,9616,C8.9,8.9,C,0.0000089,,,
09-17-2001,177,9616,M1.5,1.5,M,0.000015,,,
09-20-2001,289,9631,M1.5,1.5,M,0.000015,,,
09-24-2001,316,9632,X2.6,2.6,X,0.00026,,,
09-27-2001,278,EP,C9.5,9.5,C,0.0000095,,,
10-01-2001,260,9628,M9.1,9.1,M,0.000091,,,
10-09-2001,122,9653,M1.4,1.4,M,0.000014,,,
10-19-2001,221,9661,X1.6,1.6,X,0.00016,,,
10-19-2001,221,9661,X1.6,1.6,X,0.00016,,,
10-22-2001,209,9672,M6.7,6.7,M,0.000067,,,
10-25-2001,233,9672,X1.3,1.3,X,0.00013,,,
11-04-2001,184,9684,X1.0,1,X,0.0001,,,
11-17-2001,141,9704,M2.8,2.8,M,0.000028,,,
11-22-2001,144,9698,M3.8,3.8,M,0.000038,,,
11-22-2001,144,9704,M9.9,9.9,M,0.000099,,,
12-26-2001,270,9742,M7.1,7.1,M,0.000071,,,
12-28-2001,252,9756,X3.4,3.4,X,0.00034,,,
01-14-2002,197,9772,M4.4,4.4,M,0.000044,,,
02-21-2002,128,9825,M3.9,3.9,M,0.000039,,,
03-11-2002,154,9866,M2.3,2.3,M,0.000023,,,
03-12-2002,135,-----,M5.0,5,M,0.00005,,,
03-15-2002,150,9866,M2.2,2.2,M,0.000022,,,
03-17-2002,132,9871,C3.1,3.1,C,0.0000031,,,
03-18-2002,138,9873,M1.0,1,M,0.00001,,,
03-22-2002,139,9866,M1.6,1.6,M,0.000016,,,
03-22-2002,139,9866,M1.6,1.6,M,0.000016,,,
04-10-2002,220,9893,M8.2,8.2,M,0.000082,,,
04-14-2002,232,9893,C9.6,9.6,C,0.0000096,,,
04-15-2002,214,9906,M1.2,1.2,M,0.000012,,,
04-17-2002,146,9906,M2.6,2.6,M,0.000026,,,
04-21-2002,147,9906,X1.5,1.5,X,0.00015,,,
04-30-2002,132,9934,C3.2,3.2,C,0.0000032,,,
05-16-2002,130,9948,C4.5,4.5,C,0.0000045,,,
05-22-2002,213,9948,C9.7,9.7,C,0.0000097,,,
05-27-2002,191,9967,C3.7,3.7,C,0.0000037,,,
07-07-2002,107,10017,M1.0,1,M,0.00001,,,
07-15-2002,155,10030,M1.8,1.8,M,0.000018,,,
07-17-2002,147,10030,M8.5,8.5,M,0.000085,,,
07-18-2002,149,10030,X1.8,1.8,X,0.00018,,,
07-18-2002,149,10036,C3.3,3.3,C,0.0000033,,,
07-20-2002,124,10039,X3.3,3.3,X,0.00033,,,
07-23-2002,196,10039,X4.8,4.8,X,0.00048,,,
07-26-2002,265,10039,M8.7,8.7,M,0.000087,,,
08-03-2002,183,10039,X1.0,1,X,0.0001,,,
08-14-2002,267,10061,M2.3,2.3,M,0.000023,,,
08-16-2002,263,10061,M2.4,2.4,M,0.000024,,,
08-16-2002,263,10069,M5.2,5.2,M,0.000052,,,
08-22-2002,172,-----,M5.4,5.4,M,0.000054,,,
08-24-2002,149,10069,X3.1,3.1,X,0.00031,,,
09-05-2002,226,10102,C5.2,5.2,C,0.0000052,,,
09-10-2002,202,10105,M2.9,2.9,M,0.000029,,,
09-27-2002,154,10134,M1.8,1.8,M,0.000018,,,
10-13-2002,185,10150,C4.7,4.7,C,0.0000047,,,
10-14-2002,177,10159,M2.2,2.2,M,0.000022,,,
10-14-2002,177,-----,C4.5,4.5,C,0.0000045,,,
11-09-2002,199,10180,M4.6,4.6,M,0.000046,,,
11-10-2002,194,10180,M2.4,2.4,M,0.000024,,,
11-11-2002,176,10180,M1.8,1.8,M,0.000018,,,
12-19-2002,224,10229,M2.7,2.7,M,0.000027,,,
12-22-2002,174,10223,M1.1,1.1,M,0.000011,,,
01-20-2003,156,FILA,C1.7,1.7,C,0.0000017,,,
01-27-2003,142,FILA,C2.4,2.4,C,0.0000024,,,
03-18-2003,71,10314,X1.5,1.5,X,0.00015,,,
05-27-2003,91,10365,X1.3,1.3,X,0.00013,,,
05-28-2003,99,10365,X3.6,3.6,X,0.00036,,,
05-29-2003,89,10365,X1.2,1.2,X,0.00012,,,
05-31-2003,67,10365,M9.3,9.3,M,0.000093,,,
06-16-2003,87,10386,X1.3,1.3,X,0.00013,,,
06-17-2003,86,10386,M6.8,6.8,M,0.000068,,,
07-10-2003,114,10397,M3.6,3.6,M,0.000036,,,
08-19-2003,92,10431,M2.7,2.7,M,0.000027,,,
10-26-2003,133,10486,X1.2,1.2,X,0.00012,,,
10-26-2003,133,10484,X1.2,1.2,X,0.00012,,,
10-28-2003,247,10486,X17.,17,X,0.0017,,,
10-29-2003,250,10486,X10.,10,X,0.001,,,
11-01-2003,153,10486,M3.2,3.2,M,0.000032,,,
11-02-2003,138,10486,X8.3,8.3,X,0.00083,,,
11-03-2003,89,10488,X2.7,2.7,X,0.00027,,,
11-03-2003,89,10488,X3.9,3.9,X,0.00039,,,
11-04-2003,64,10486,X28.,28,X,0.0028,,,
11-13-2003,26,10501,M1.4,1.4,M,0.000014,,,
11-17-2003,42,10501,M4.2,4.2,M,0.000042,,,
11-18-2003,64,10501,M3.9,3.9,M,0.000039,,,
11-18-2003,64,10508,M4.5,4.5,M,0.000045,,,
12-02-2003,112,10508,C7.2,7.2,C,0.0000072,,,
01-05-2004,71,10536,M6.9,6.9,M,0.000069,,,
01-06-2004,63,10537,M5.8,5.8,M,0.000058,,,
01-07-2004,81,10537,M4.5,4.5,M,0.000045,,,
01-07-2004,81,10537,M8.3,8.3,M,0.000083,,,
04-06-2004,60,10588,M2.4,2.4,M,0.000024,,,
04-08-2004,41,10588,C7.4,7.4,C,0.0000074,,,
04-08-2004,41,10588,C1.3,1.3,C,0.0000013,,,
04-11-2004,20,10588,C9.6,9.6,C,0.0000096,,,
06-22-2004,117,10635,C1.7,1.7,C,0.0000017,,,
06-23-2004,94,10635,C2.5,2.5,C,0.0000025,,,
07-23-2004,121,10652,C4.1,4.1,C,0.0000041,,,
07-25-2004,94,10652,M1.1,1.1,M,0.000011,,,
07-29-2004,39,10652,C2.1,2.1,C,0.0000021,,,
07-31-2004,38,10652,C8.4,8.4,C,0.0000084,,,
09-12-2004,76,10672,M4.8,4.8,M,0.000048,,,
09-19-2004,60,10672,M1.9,1.9,M,0.000019,,,
10-24-2004,153,10687,C1.7,1.7,C,0.0000017,,,
10-30-2004,148,10691,M4.2,4.2,M,0.000042,,,
11-03-2004,108,10696,M5.0,5,M,0.00005,,,
11-03-2004,108,10696,M1.6,1.6,M,0.000016,,,
11-06-2004,100,10696,M3.6,3.6,M,0.000036,,,
11-07-2004,101,10696,X2.0,2,X,0.0002,,,
11-09-2004,84,10696,M8.9,8.9,M,0.000089,,,
11-10-2004,52,10696,X2.5,2.5,X,0.00025,,,
12-03-2004,48,10708,M1.5,1.5,M,0.000015,,,
12-08-2004,24,10709,C2.5,2.5,C,0.0000025,,,
12-29-2004,19,10715,M2.3,2.3,M,0.000023,,,
12-30-2004,29,10715,M4.2,4.2,M,0.000042,,,
01-01-2005,49,10715,X1.7,1.7,X,0.00017,,,
01-04-2005,22,10715,C7.3,7.3,C,0.0000073,,,
01-15-2005,91,10720,M8.6,8.6,M,0.000086,,,
01-15-2005,91,10720,X2.6,2.6,X,0.00026,,,
01-17-2005,98,10720,X2.0,2,X,0.0002,,,
01-17-2005,98,10720,X3.8,3.8,X,0.00038,,,
01-19-2005,69,10720,X1.3,1.3,X,0.00013,,,
01-20-2005,65,10720,X7.1,7.1,X,0.00071,,,
05-02-2005,61,10758,C8.0,8,C,0.000008,,,
05-06-2005,65,10758,C8.5,8.5,C,0.0000085,,,
05-13-2005,90,10759,M8.0,8,M,0.00008,,,
06-03-2005,48,10775,M1.0,1,M,0.00001,,,
06-16-2005,62,10775,M4.0,4,M,0.00004,,,
07-07-2005,117,10786,M4.9,4.9,M,0.000049,,,
07-09-2005,89,10786,M2.8,2.8,M,0.000028,,,
07-13-2005,64,10786,M5.0,5,M,0.00005,,,
07-14-2005,47,10786,X1.2,1.2,X,0.00012,,,
07-27-2005,17,10792,M3.7,3.7,M,0.000037,,,
07-30-2005,67,10792,X1.3,1.3,X,0.00013,,,
08-01-2005,105,10792,M1.0,1,M,0.00001,,,
08-22-2005,63,10798,M2.6,2.6,M,0.000026,,,
08-22-2005,63,10798,M5.6,5.6,M,0.000056,,,
08-23-2005,60,10798,M2.7,2.7,M,0.000027,,,
08-31-2005,48,10803,C2.0,2,C,0.000002,,,
09-05-2005,14,-----,C2.7,2.7,C,0.0000027,,,
09-07-2005,24,10808,X1.7,1.7,X,0.00017,,,
09-09-2005,48,10808,X6.2,6.2,X,0.00062,,,
09-10-2005,59,10808,X2.1,2.1,X,0.00021,,,
09-11-2005,58,10808,M3.0,3,M,0.00003,,,
09-13-2005,85,10808,X1.5,1.5,X,0.00015,,,
04-30-2006,62,10876,C1.8,1.8,C,0.0000018,,,
07-06-2006,36,10898,M2.5,2.5,M,0.000025,,,
08-16-2006,31,10904,C3.6,3.6,C,0.0000036,,,
08-26-2006,23,10905,C2.5,2.5,C,0.0000025,,,
11-06-2006,40,-----,C8.8,8.8,C,0.0000088,,,
12-05-2006,46,10930,X9.0,9,X,0.0009,,,
12-06-2006,54,10930,M1.1,1.1,M,0.000011,,,
12-06-2006,54,10930,M6.0,6,M,0.00006,,,
12-06-2006,54,10930,X6.5,6.5,X,0.00065,,,
12-13-2006,26,10930,X3.4,3.4,X,0.00034,,,
12-14-2006,23,10930,X1.5,1.5,X,0.00015,,,
01-25-2007,14,10940,C6.3,6.3,C,0.0000063,,,
05-19-2007,37,10956,B9.5,9.5,B,0.00000095,,,
12-31-2007,0,10980,C8.3,8.3,C,0.0000083,,,
03-25-2008,54,10989,M1.7,1.7,M,0.000017,,,
04-26-2008,0,-----,B3.8,3.8,B,0.00000038,,,
08-01-2010,24,11092,C3.2,3.2,C,0.0000032,,,
08-07-2010,48,11093,M1.0,1,M,0.00001,,,
08-18-2010,23,11099,C4.5,4.5,C,0.0000045,,,
01-27-2011,20,11149,C1.2,1.2,C,0.0000012,,,
02-13-2011,78,11158,M6.6,6.6,M,0.000066,,,
02-15-2011,83,11158,X2.2,2.2,X,0.00022,,,
02-24-2011,24,11163,M3.5,3.5,M,0.000035,,,
03-07-2011,138,11166,M1.9,1.9,M,0.000019,,,
03-07-2011,138,11164,M3.7,3.7,M,0.000037,,,
05-09-2011,84,-----,C5.4,5.4,C,0.0000054,,,
05-29-2011,98,11227,C8.7,8.7,C,0.0000087,,,
06-02-2011,135,11227,C3.7,3.7,C,0.0000037,,,
06-07-2011,58,11226,M2.5,2.5,M,0.000025,,,
06-21-2011,50,11236,C7.7,7.7,C,0.0000077,,,
08-02-2011,95,11261,M1.4,1.4,M,0.000014,,,
08-04-2011,92,11261,M9.3,9.3,M,0.000093,,,
08-08-2011,70,11263,M3.5,3.5,M,0.000035,,,
08-09-2011,61,11263,X6.9,6.9,X,0.00069,,,
09-06-2011,89,11283,M5.3,5.3,M,0.000053,,,
09-06-2011,89,11283,X2.1,2.1,X,0.00021,,,
09-22-2011,109,11302,X1.4,1.4,X,0.00014,,,
09-24-2011,116,11302,M7.1,7.1,M,0.000071,,,
09-25-2011,122,11302,M7.4,7.4,M,0.000074,,,
10-21-2011,194,11319,M1.3,1.3,M,0.000013,,,
11-09-2011,177,11343,M1.1,1.1,M,0.000011,,,
11-26-2011,131,11353,C1.2,1.2,C,0.0000012,,,
12-25-2011,97,11387,M4.0,4,M,0.00004,,,
01-19-2012,105,11402,M3.2,3.2,M,0.000032,,,
01-23-2012,113,11402,M8.7,8.7,M,0.000087,,,
01-27-2012,65,11402,X1.7,1.7,X,0.00017,,,
03-05-2012,108,11429,X1.1,1.1,X,0.00011,,,
03-07-2012,106,11429,X5.4,5.4,X,0.00054,,,
03-09-2012,110,11429,M6.3,6.3,M,0.000063,,,
03-10-2012,104,11429,M8.4,8.4,M,0.000084,,,
03-13-2012,96,11429,M7.9,7.9,M,0.000079,,,
04-09-2012,14,11451,C3.9,3.9,C,0.0000039,,,
04-15-2012,90,11461,C1.7,1.7,C,0.0000017,,,
05-17-2012,110,11476,M5.1,5.1,M,0.000051,,,
07-04-2012,131,11513,M1.8,1.8,M,0.000018,,,
07-05-2012,129,11515,M1.6,1.6,M,0.000016,,,
07-06-2012,132,11515,X1.1,1.1,X,0.00011,,,
07-08-2012,117,11515,M6.9,6.9,M,0.000069,,,
07-12-2012,125,11520,X1.4,1.4,X,0.00014,,,
07-17-2012,86,11520,C9.9,9.9,C,0.0000099,,,
07-19-2012,38,11520,M7.7,7.7,M,0.000077,,,
08-31-2012,150,11563,C8.1,8.1,C,0.0000081,,,
09-27-2012,113,11577,C3.7,3.7,C,0.0000037,,,
10-22-2012,85,11598,M1.3,1.3,M,0.000013,,,
01-16-2013,90,11650,C2.2,2.2,C,0.0000022,,,
03-15-2013,111,11692,M1.1,1.1,M,0.000011,,,
04-11-2013,126,11719,M6.5,6.5,M,0.000065,,,
04-18-2013,85,11719,C6.5,6.5,C,0.0000065,,,
04-21-2013,93,11723,C2.7,2.7,C,0.0000027,,,
05-13-2013,153,11748,X1.7,1.7,X,0.00017,,,
05-13-2013,153,11748,X2.8,2.8,X,0.00028,,,
05-14-2013,160,11748,X3.2,3.2,X,0.00032,,,
05-15-2013,173,11748,X1.2,1.2,X,0.00012,,,
05-22-2013,131,11745,M5.0,5,M,0.00005,,,
06-21-2013,139,11777,M2.9,2.9,M,0.000029,,,
06-28-2013,75,11777,C4.4,4.4,C,0.0000044,,,
07-04-2013,121,11787,C6.8,6.8,C,0.0000068,,,
08-06-2013,71,EP,B4.5,4.5,B,0.00000045,,,
08-17-2013,100,11818,M1.4,1.4,M,0.000014,,,
08-30-2013,71,11836,C8.3,8.3,C,0.0000083,,,
09-29-2013,43,EP,C1.3,1.3,C,0.0000013,,,
10-02-2013,60,DIM,C1.2,1.2,C,0.0000012,,,
10-22-2013,118,11875,M4.2,4.2,M,0.000042,,,
10-25-2013,138,11882,X2.1,2.1,X,0.00021,,,
10-26-2013,132,11875,C4.5,4.5,C,0.0000045,,,
10-26-2013,132,11875,M1.3,1.3,M,0.000013,,,
10-27-2013,148,11875,C9.1,9.1,C,0.0000091,,,
10-28-2013,147,11875,M5.1,5.1,M,0.000051,,,
10-28-2013,147,11882,M4.4,4.4,M,0.000044,,,
11-19-2013,113,11893,X1.0,1,X,0.0001,,,
12-07-2013,89,11909,M1.2,1.2,M,0.000012,,,
12-12-2013,151,11912,C4.6,4.6,C,0.0000046,,,
01-07-2014,140,11943,X1.2,1.2,X,0.00012,,,
01-20-2014,133,DIM,C3.6,3.6,C,0.0000036,,,
02-20-2014,133,11976,M3.0,3,M,0.00003,,,
02-25-2014,171,11990,X4.9,4.9,X,0.00049,,,
03-29-2014,118,12017,M2.6,2.6,M,0.000026,,,
04-02-2014,114,12027,M6.5,6.5,M,0.000065,,,
04-04-2014,158,12027,C8.3,8.3,C,0.0000083,,,
04-18-2014,178,12036,M7.3,7.3,M,0.000073,,,
06-10-2014,162,12087,X1.5,1.5,X,0.00015,,,
06-12-2014,197,12085,M3.1,3.1,M,0.000031,,,
07-30-2014,122,EP?,C1.5,1.5,C,0.0000015,,,
08-01-2014,165,12127,M1.5,1.5,M,0.000015,,,
08-22-2014,125,12146,C2.2,2.2,C,0.0000022,,,
08-25-2014,116,12146,M2.0,2,M,0.00002,,,
08-25-2014,116,12146,M3.9,3.9,M,0.000039,,,
09-09-2014,175,12158,M4.5,4.5,M,0.000045,,,
09-10-2014,169,12158,X1.6,1.6,X,0.00016,,,
09-23-2014,119,12172,M2.3,2.3,M,0.000023,,,
10-02-2014,126,12173,M7.3,7.3,M,0.000073,,,
10-10-2014,36,EP,C3.0,3,C,0.000003,,,
10-21-2014,107,12192,C4.4,4.4,C,0.0000044,,,
12-17-2014,178,12241,M1.1,1.1,M,0.000011,,,
12-17-2014,178,12242,M8.7,8.7,M,0.000087,,,
12-18-2014,154,12241,M6.9,6.9,M,0.000069,,,
12-21-2014,137,12241,M1.0,1,M,0.00001,,,
03-03-2015,42,12290,M8.2,8.2,M,0.000082,,,
03-06-2015,35,12297,M1.5,1.5,M,0.000015,,,
03-10-2015,27,12297,M5.8,5.8,M,0.000058,,,
03-11-2015,44,12297,M2.6,2.6,M,0.000026,,,
05-05-2015,104,12339,X2.7,2.7,X,0.00027,,,
06-09-2015,92,12364,C2.8,2.8,C,0.0000028,,,
06-14-2015,90,12365,C5.9,5.9,C,0.0000059,,,
06-18-2015,77,12371,M3.0,3,M,0.00003,,,
06-21-2015,61,12371,M2.0,2,M,0.00002,,,
06-22-2015,56,12371,M6.5,6.5,M,0.000065,,,
06-25-2015,27,12371,M7.9,7.9,M,0.000079,,,
08-22-2015,71,12403,M1.2,1.2,M,0.000012,,,
09-18-2015,71,12415,C2.6,2.6,C,0.0000026,,,
09-20-2015,65,12415,M2.1,2.1,M,0.000021,,,
11-04-2015,100,12443,M3.7,3.7,M,0.000037,,,
11-09-2015,66,12449,M3.9,3.9,M,0.000039,,,
12-16-2015,63,12468,C6.6,6.6,C,0.0000066,,,
12-23-2015,68,12473,M4.7,4.7,M,0.000047,,,
12-28-2015,71,12473,M1.8,1.8,M,0.000018,,,
01-02-2016,40,12473,M2.3,2.3,M,0.000023,,,
05-04-2016,71,12535,C1.3,1.3,C,0.0000013,,,
07-14-2017,52,12665,M2.4,2.4,M,0.000024,,,
09-04-2017,112,12673,M5.5,5.5,M,0.000055,,,
09-06-2017,100,12673,X9.3,9.3,X,0.00093,,,
09-10-2017,40,-----,X8.3,8.3,X,0.00083,,,
09-12-2017,11,12680,C3.0,3,C,0.000003,,,
05-03-2019,0,12740,C1.0,1,C,0.000001,,,
11-29-2020,96,-----,M4.4,4.4,M,0.000044,,,
12-07-2020,21,12790,C7.4,7.4,C,0.0000074,,,
